"task_id","cell_id","model","n","informative","rep","dgm_tag","brier","cal_int","cal_slope","mean_pred","obs_rate","ndiv","ebfmi"
"c3_floor_n300_ni_r060",3,"floor",300,FALSE,60,"v2_cohort_posterior_hazard",0.100290009577625,1.39968249244283,1.87108928941955,0.57980497969717,0.716666666666667,0,0.55117120783201
"c3_floor_n300_ni_r061",3,"floor",300,FALSE,61,"v2_cohort_posterior_hazard",0.101896590608885,1.37352019194204,1.58699057408774,0.593010338339168,0.73,0,0.519866381651366
"c3_floor_n300_ni_r062",3,"floor",300,FALSE,62,"v2_cohort_posterior_hazard",0.087960099865251,1.15921990501572,1.90866654978615,0.586665978208543,0.696666666666667,0,0.619287717944197
"c3_floor_n300_ni_r063",3,"floor",300,FALSE,63,"v2_cohort_posterior_hazard",0.0975616780850135,1.32019150021874,1.70746652407797,0.601953483307353,0.733333333333333,0,0.599157625744558
"c3_floor_n300_ni_r064",3,"floor",300,FALSE,64,"v2_cohort_posterior_hazard",0.10392489975011,1.19449524595077,1.87628671144276,0.555697627362624,0.673333333333333,0,0.664455708926834
"c3_floor_n300_ni_r065",3,"floor",300,FALSE,65,"v2_cohort_posterior_hazard",0.0919258925458418,1.65559835628361,2.10622057882678,0.606659686402247,0.746666666666667,0,0.591464172766494
"c3_floor_n300_ni_r066",3,"floor",300,FALSE,66,"v2_cohort_posterior_hazard",0.117900563379087,1.16529460313259,1.40156437256587,0.56920827526526,0.703333333333333,0,0.595176122978433
"c3_floor_n300_ni_r067",3,"floor",300,FALSE,67,"v2_cohort_posterior_hazard",0.08677104302005,1.45805445996018,2.19435853566033,0.58948416589964,0.71,0,0.543480185458349
"c3_floor_n300_ni_r068",3,"floor",300,FALSE,68,"v2_cohort_posterior_hazard",0.103742569621118,1.39610082442887,1.77490182212802,0.598636775119457,0.736666666666667,0,0.630729932803069
"c3_floor_n300_ni_r069",3,"floor",300,FALSE,69,"v2_cohort_posterior_hazard",0.105865375826169,1.67431463355647,2.00895860206156,0.567262989627493,0.716666666666667,0,0.557930696798566
"c3_floor_n300_ni_r070",3,"floor",300,FALSE,70,"v2_cohort_posterior_hazard",0.0955979583391079,1.32427020976152,1.93007489246559,0.627815734229626,0.766666666666667,0,0.526508634098556
"c3_floor_n300_ni_r071",3,"floor",300,FALSE,71,"v2_cohort_posterior_hazard",0.085574425530589,1.37583946196871,2.10782134940016,0.608306265896468,0.733333333333333,0,0.688077865738877
"c3_floor_n300_ni_r072",3,"floor",300,FALSE,72,"v2_cohort_posterior_hazard",0.0924956694117484,1.5225911091106,2.20701407530973,0.607764713164773,0.743333333333333,0,0.509411384459835
"c3_floor_n300_ni_r073",3,"floor",300,FALSE,73,"v2_cohort_posterior_hazard",0.108012328255487,1.26794365766096,1.81058494472549,0.554602424195559,0.68,0,0.614806480634646
"c3_floor_n300_ni_r074",3,"floor",300,FALSE,74,"v2_cohort_posterior_hazard",0.0701363260122192,1.42437252184755,2.83406091153952,0.612107850902795,0.723333333333333,0,0.640301854162858
"c3_floor_n300_ni_r075",3,"floor",300,FALSE,75,"v2_cohort_posterior_hazard",0.110141091635652,1.35573725172056,1.56168642058519,0.567687294610493,0.71,0,0.616999768134541
"c3_floor_n300_ni_r076",3,"floor",300,FALSE,76,"v2_cohort_posterior_hazard",0.108435390723956,1.45517158329337,1.83786326608721,0.6011743946811,0.746666666666667,0,0.590938428041267
"c3_floor_n300_ni_r077",3,"floor",300,FALSE,77,"v2_cohort_posterior_hazard",0.0900300666657872,1.64050624298877,2.08209169550361,0.588324457358707,0.726666666666667,0,0.597800886347862
"c3_floor_n300_ni_r078",3,"floor",300,FALSE,78,"v2_cohort_posterior_hazard",0.105461193663763,1.60934587517065,1.99838722573513,0.569057171689134,0.71,0,0.654542748347732
"c3_floor_n300_ni_r079",3,"floor",300,FALSE,79,"v2_cohort_posterior_hazard",0.101215326547181,1.335425801395,1.82207220431093,0.586478607321473,0.716666666666667,0,0.577635624342726
"c3_floor_n300_ni_r080",3,"floor",300,FALSE,80,"v2_cohort_posterior_hazard",0.123404169244564,1.37677816574644,1.36591497920706,0.562626365425003,0.716666666666667,0,0.500694119638293
"c3_floor_n300_ni_r081",3,"floor",300,FALSE,81,"v2_cohort_posterior_hazard",0.127156829001726,1.28941233341711,1.32937219713311,0.609394376452933,0.766666666666667,0,0.602217617039518
"c3_floor_n300_ni_r082",3,"floor",300,FALSE,82,"v2_cohort_posterior_hazard",0.10896753656543,1.32816429856987,1.76836618610497,0.578337865771315,0.713333333333333,0,0.576629897773384
"c3_floor_n300_ni_r083",3,"floor",300,FALSE,83,"v2_cohort_posterior_hazard",0.11022406159271,1.39946405337997,1.49777508564069,0.575609304209285,0.723333333333333,0,0.537427338094046
"c3_floor_n300_ni_r084",3,"floor",300,FALSE,84,"v2_cohort_posterior_hazard",0.100806136073152,1.58332768176047,1.63962265879452,0.596726750381242,0.746666666666667,0,0.577483771014008
"c3_floor_n300_ni_r085",3,"floor",300,FALSE,85,"v2_cohort_posterior_hazard",0.101503065061058,1.5025076580476,2.00609134913114,0.581006649937368,0.726666666666667,0,0.559798292574295
